riskyGain 10.00, riskyLoss -1.43, safe, 0.00, loc, 2, choice, 1, outcome, -1.43, RT, 0.44, ISI, 1, ITI, 1, trial, 36, block, 2, triBlock, 11
riskyGain 7.00, riskyLoss -1.21, safe, 0.00, loc, 1, choice, 1, outcome, 7.00, RT, 0.38, ISI, 1, ITI, 3, trial, 37, block, 2, triBlock, 12
riskyGain 12.00, riskyLoss -1.20, safe, 0.00, loc, 2, choice, 1, outcome, -1.20, RT, 0.71, ISI, 1, ITI, 2, trial, 38, block, 2, triBlock, 13
riskyGain 7.87, riskyLoss 0.00, safe, 4.07, loc, 1, choice, 1, outcome, 7.87, RT, 0.55, ISI, 1, ITI, 2, trial, 39, block, 2, triBlock, 14
riskyGain 32.00, riskyLoss 0.00, safe, 0.00, loc, 2, choice, 1, outcome, 32.00, RT, 0.51, ISI, 1, ITI, 2, trial, 40, block, 2, triBlock, 15
riskyGain 10.00, riskyLoss -4.35, safe, 0.00, loc, 1, choice, 1, outcome, 10.00, RT, 1.05, ISI, 1, ITI, 3, trial, 41, block, 2, triBlock, 16
riskyGain 12.00, riskyLoss -6.67, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.59, ISI, 1, ITI, 2, trial, 42, block, 2, triBlock, 17
riskyGain 5.00, riskyLoss -5.00, safe, 0.00, loc, 1, choice, 1, outcome, -5.00, RT, 0.52, ISI, 1, ITI, 1, trial, 43, block, 2, triBlock, 18
riskyGain 7.00, riskyLoss -1.89, safe, 0.00, loc, 1, choice, 1, outcome, -1.89, RT, 0.63, ISI, 1, ITI, 1, trial, 44, block, 2, triBlock, 19
riskyGain 10.00, riskyLoss -1.72, safe, 0.00, loc, 1, choice, 1, outcome, 10.00, RT, 0.55, ISI, 1, ITI, 3, trial, 45, block, 2, triBlock, 20
riskyGain 8.00, riskyLoss -4.00, safe, 0.00, loc, 1, choice, 1, outcome, -4.00, RT, 0.60, ISI, 1, ITI, 2, trial, 46, block, 2, triBlock, 21
riskyGain 31.43, riskyLoss 0.00, safe, 8.29, loc, 1, choice, 1, outcome, 31.43, RT, 0.42, ISI, 1, ITI, 1, trial, 47, block, 2, triBlock, 22
riskyGain 16.68, riskyLoss 0.00, safe, 7.66, loc, 1, choice, 0, outcome, 7.66, RT, 1.01, ISI, 1, ITI, 1, trial, 48, block, 2, triBlock, 23
riskyGain 8.00, riskyLoss -11.43, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.61, ISI, 1, ITI, 1, trial, 49, block, 2, triBlock, 24
riskyGain 5.00, riskyLoss -4.17, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.64, ISI, 1, ITI, 1, trial, 50, block, 2, triBlock, 25
riskyGain 5.00, riskyLoss -2.50, safe, 0.00, loc, 2, choice, 1, outcome, 5.00, RT, 0.38, ISI, 1, ITI, 3, trial, 51, block, 3, triBlock, 1
riskyGain 7.00, riskyLoss -14.00, safe, 0.00, loc, 1, choice, 1, outcome, -14.00, RT, 0.49, ISI, 1, ITI, 3, trial, 52, block, 3, triBlock, 2
riskyGain 7.00, riskyLoss -7.78, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.39, ISI, 1, ITI, 3, trial, 53, block, 3, triBlock, 3
riskyGain 7.00, riskyLoss -1.00, safe, 0.00, loc, 1, choice, 1, outcome, 7.00, RT, 0.49, ISI, 1, ITI, 3, trial, 54, block, 3, triBlock, 4
riskyGain 12.00, riskyLoss -7.50, safe, 0.00, loc, 2, choice, 1, outcome, -7.50, RT, 0.40, ISI, 1, ITI, 1, trial, 55, block, 3, triBlock, 5
riskyGain 7.00, riskyLoss -4.67, safe, 0.00, loc, 2, choice, 1, outcome, -4.67, RT, 0.48, ISI, 1, ITI, 3, trial, 56, block, 3, triBlock, 6
riskyGain 12.00, riskyLoss -3.53, safe, 0.00, loc, 1, choice, 1, outcome, -3.53, RT, 0.40, ISI, 1, ITI, 3, trial, 57, block, 3, triBlock, 7
riskyGain 8.00, riskyLoss -8.00, safe, 0.00, loc, 2, choice, 1, outcome, -8.00, RT, 0.51, ISI, 1, ITI, 2, trial, 58, block, 3, triBlock, 8
riskyGain 8.00, riskyLoss -4.44, safe, 0.00, loc, 1, choice, 1, outcome, 8.00, RT, 0.47, ISI, 1, ITI, 2, trial, 59, block, 3, triBlock, 9
riskyGain 23.76, riskyLoss 0.00, safe, 12.12, loc, 1, choice, 1, outcome, 0.00, RT, 0.42, ISI, 1, ITI, 3, trial, 60, block, 3, triBlock, 10
riskyGain 22.40, riskyLoss 0.00, safe, 4.80, loc, 1, choice, 1, outcome, 22.40, RT, 0.42, ISI, 1, ITI, 2, trial, 61, block, 3, triBlock, 11
